idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand
10.0,0.58400005,0.583,0.646,-0.062000003,0.069000006,0.172,0.21200001,0.062000003,0.098000005,0.096,0.124000005,0.071,0.026,0.45100003,0.72300005,1.0,1.0,Linear_oracle,dynamic
10.0,0.73300004,0.697,0.646,0.087000005,0.17,0.12100001,0.34600002,0.087000005,0.149,0.134,0.223,0.035,0.10300001,0.497,1.1650001,1.0,1.0,BYM_oracle,dynamic
10.0,2.4,2.3960001,2.6460001,-0.246,0.28800002,0.24700001,0.39900002,0.246,0.31800002,0.093,0.12200001,0.009000001,0.022000002,1.8440001,2.979,1.0,1.0,Linear_oracle,stoch
10.0,3.0070002,2.8630002,2.6460001,0.36100003,0.697,0.386,0.827,0.36100003,0.55600005,0.136,0.209,0.021000002,0.08800001,2.035,4.7850003,1.0,1.0,BYM_oracle,stoch
10.0,0.272,0.273,0.646,-0.374,0.078,0.48600003,0.50200003,0.38000003,0.38500002,0.587,555.935,0.565,5853057.5,0.117000006,0.42600003,0.0,0.246,Linear_observed,dynamic
10.0,0.33900002,0.31,0.646,-0.307,0.15900001,0.402,0.536,0.31500003,0.386,0.48700002,755.739,0.386,12363936.0,0.119,0.777,1.0,0.46800002,BYM_observed,dynamic
10.0,1.042,1.0430001,2.6460001,-1.6040001,0.26000002,1.7680001,1.7900001,1.605,1.6060001,0.606,0.58000004,0.446,0.35900003,0.52900004,1.5530001,0.0,0.032,Linear_observed,stoch
10.0,1.3000001,1.1830001,2.6460001,-1.3460001,0.565,1.536,1.644,1.3460001,1.416,0.509,0.509,0.337,0.3,0.551,2.891,1.0,0.69000006,BYM_observed,stoch
10.0,0.48100004,0.476,0.646,-0.165,0.081,0.324,0.37800002,0.23500001,0.275,0.36400002,1739.05,0.25100002,55257500.0,0.335,0.65300006,1.0,0.88000005,Linear_3S,dynamic
10.0,1.8320001,1.817,2.6460001,-0.814,0.296,0.93600005,1.0170001,0.81900007,0.855,0.30900002,0.30800003,0.125,0.11800001,1.292,2.45,0.0,0.568,Linear_3S,stoch
10.0,0.72900003,0.657,0.646,0.083000004,0.27600002,0.35500002,0.674,0.24300002,0.36200002,0.37500003,2470.5322,0.30100003,124078056.0,0.38900003,1.4460001,1.0,0.99200004,BYM_3S,dynamic
10.0,2.7830002,2.506,2.6460001,0.13700001,1.0450001,0.407,1.2040001,0.33,0.88000005,0.125,0.34300002,0.024,0.23,1.4970001,5.5080004,1.0,1.0,BYM_3S,stoch
10.0,0.697,0.694,0.646,0.051000003,0.096,0.275,0.307,0.22000001,0.23600002,0.34,3290.8682,0.18100001,119492530.0,0.513,0.89100003,1.0,0.48200002,Linear_1S,dynamic
10.0,0.95000005,0.90300006,0.646,0.30400002,0.24700001,0.42700002,0.6,0.34100002,0.38000003,0.527,4273.7124,0.43600002,209245380.0,0.586,1.5280001,1.0,0.518,BYM_1S,dynamic
10.0,2.6330001,2.6230001,2.6460001,-0.013,0.36,0.367,0.532,0.29200003,0.411,0.11000001,0.15900001,0.019000001,0.042000003,1.9470001,3.3560002,1.0,0.92,Linear_1S,stoch
10.0,3.5980003,3.4190001,2.6460001,0.952,0.93700004,1.0530001,1.4330001,0.95400006,1.069,0.36,0.42600003,0.158,0.326,2.2210002,5.795,1.0,0.878,BYM_1S,stoch
65.0,0.492,0.49,0.646,-0.15400001,0.055000003,0.31500003,0.33,0.15400001,0.158,0.23900001,0.18300001,0.238,0.049000002,0.38500002,0.60400003,0.0,0.89800006,Linear_oracle,dynamic
65.0,0.75200003,0.72200006,0.646,0.106000006,0.18300001,0.15400001,0.36600003,0.105000004,0.165,0.163,0.246,0.057000004,0.12200001,0.47900003,1.1850001,1.0,1.0,BYM_oracle,dynamic
65.0,2.0210001,2.0140002,2.6460001,-0.625,0.231,0.64100003,0.688,0.625,0.62700003,0.23600002,0.24100001,0.059000004,0.065000005,1.5780001,2.486,0.0,0.022000002,Linear_oracle,stoch
65.0,3.084,2.9620001,2.6460001,0.43800002,0.75200003,0.46500003,0.915,0.437,0.643,0.165,0.24100001,0.031000001,0.108,1.9580001,4.8620005,1.0,1.0,BYM_oracle,stoch
65.0,0.29500002,0.29500002,0.646,-0.351,0.076000005,0.517,0.52900004,0.372,0.377,0.57500005,882.52905,0.64100003,12948905.0,0.149,0.448,0.0,0.31,Linear_observed,dynamic
65.0,-0.029000001,0.004,0.646,-0.675,0.57900006,1.1960001,1.3820001,0.675,0.943,1.0450001,4728.038,3.4240003,416720900.0,-0.87100005,0.74700004,1.0,0.762,BYM_observed,dynamic
